StudentID,Name,Gender,DOB,Age,State,District,City,PinCode,Caste,Category,Medium,SchoolID,SchoolName,SchoolType,SchoolBoard,Class,Section,Stream,FatherName,MotherName,ParentEducationLevel,ParentOccupation,FamilyIncome,Math,Science,English,SocialScience,Hindi,Computer,GK,Sanskrit,EVS,Art,Total,Percentage,AttendancePercent,DisciplinaryNotes,ExtracurricularScore
S1000,Student_0,Male,10-01-2008,16,West Bengal,District A,City X,994801,GEN,Rural,English,Sch100,School_0,Govt,ICSE,8,B,Arts,Father_0,Mother_0,Primary,Farmer,56319,98,85,61,84,70,64,64,34,77,43,680,68,61.08,Yes,3
S1001,Student_1,Female,14-07-2005,19,Uttar Pradesh,District A,City X,810731,OBC,Urban,Hindi,Sch101,School_1,Govt,ICSE,6,B,Arts,Father_1,Mother_1,Graduate,Farmer,51728,44,80,35,55,85,61,76,77,44,69,626,62.6,61,Yes,5
S1002,Student_2,Male,28-04-2007,17,Bihar,District A,City Z,776278,ST,Urban,English,Sch102,School_2,Private,State,10,C,Science,Father_2,Mother_2,Primary,Engineer,29363,72,49,42,82,43,48,53,42,45,59,535,53.5,97.36,No,2
S1003,Student_3,Male,27-09-2005,19,Tamil Nadu,District C,City Y,914811,OBC,Urban,Hindi,Sch103,School_3,Private,ICSE,6,A,Commerce,Father_3,Mother_3,Primary,Teacher,92846,46,86,93,95,83,68,89,61,72,43,736,73.6,97.71,Yes,3
S1004,Student_4,Male,20-03-2008,16,Uttar Pradesh,District B,City Y,482811,SC,Urban,Regional,Sch104,School_4,Private,CBSE,7,C,Science,Father_4,Mother_4,PG,Laborer,44300,53,34,36,68,92,49,77,96,36,81,622,62.2,99.52,No,1
S1005,Student_5,Female,03-04-2009,15,Maharashtra,District A,City Y,601691,GEN,Rural,English,Sch105,School_5,Govt,CBSE,9,A,Commerce,Father_5,Mother_5,Secondary,Business,59808,59,43,74,36,94,57,52,59,72,46,592,59.2,90.38,No,4
S1006,Student_6,Male,22-09-2008,16,Bihar,District B,City Z,314304,SC,Rural,Regional,Sch106,School_6,Govt,ICSE,10,A,Arts,Father_6,Mother_6,PG,Business,10943,96,53,74,68,87,32,41,35,57,91,634,63.4,59.41,Yes,5
S1007,Student_7,Male,28-11-2009,15,Bihar,District A,City X,496178,OBC,Urban,Hindi,Sch107,School_7,Govt,State,11,C,Science,Father_7,Mother_7,Graduate,Engineer,85105,80,97,94,61,50,61,70,54,95,51,713,71.3,60.6,Yes,2
S1008,Student_8,Male,15-12-2004,20,Maharashtra,District B,City Y,769211,OBC,Urban,Regional,Sch108,School_8,Govt,State,9,B,Science,Father_8,Mother_8,Primary,Engineer,47616,89,81,48,55,33,87,58,57,89,82,679,67.9,67.01,No,3
S1009,Student_9,Female,26-12-2008,16,Bihar,District B,City Z,538963,ST,Rural,Regional,Sch109,School_9,Govt,ICSE,10,C,Science,Father_9,Mother_9,Secondary,Laborer,79329,32,77,76,58,75,83,99,91,32,61,684,68.4,65.91,No,6
